customer_id,signup_date,plan_type,monthly_revenue,total_revenue,contract_type,tenure_months,support_tickets,usage_minutes,feature_usage_score,payment_failures,region,customer_segment,churned,churn_date
CUST-00039,2022-10-12,growth,154.34,617.37,month-to-month,4,1,491,48,2,LATAM,mid-market,0,
CUST-00040,2022-07-22,growth,153.47,8287.6,annual,54,5,821,100,0,LATAM,mid-market,0,
CUST-00041,2021-11-09,starter,44.36,2040.66,month-to-month,46,0,345,62,0,EMEA,mid-market,1,2025-08-20
CUST-00042,2023-02-19,growth,183.04,4941.95,month-to-month,27,0,219,61,1,LATAM,smb,1,2025-05-09
CUST-00043,2023-09-27,growth,174.32,9587.72,month-to-month,55,4,176,35,1,EMEA,smb,0,
CUST-00044,2023-12-30,growth,181.45,3992.0,month-to-month,22,2,380,7,1,NA,smb,0,
CUST-00045,2022-03-10,enterprise,782.23,33635.99,annual,43,0,767,85,0,LATAM,enterprise,0,
CUST-00046,2022-12-18,growth,127.81,2300.49,annual,18,3,649,77,1,EMEA,smb,0,
CUST-00047,2021-08-23,starter,46.33,2269.95,annual,49,0,768,48,0,EMEA,mid-market,0,
CUST-00048,2021-02-22,growth,136.41,1500.51,month-to-month,11,2,375,11,2,APAC,smb,1,2022-01-18
CUST-00049,2022-09-10,growth,141.12,3669.22,multi-year,26,6,397,23,0,NA,mid-market,0,
CUST-00050,2023-10-01,starter,41.9,963.65,annual,23,1,859,80,0,NA,mid-market,0,
CUST-00051,2023-09-18,growth,163.36,7514.49,month-to-month,46,0,200,38,0,LATAM,smb,0,
CUST-00052,2023-02-16,growth,141.18,2964.87,annual,21,4,932,89,1,APAC,smb,0,
CUST-00053,2021-01-21,starter,55.39,1772.58,annual,32,0,472,73,1,EMEA,smb,0,
CUST-00054,2022-03-30,growth,173.91,6260.72,annual,36,3,536,53,0,LATAM,smb,1,2025-03-14
CUST-00055,2022-09-20,growth,147.62,4576.16,month-to-month,31,1,632,69,0,APAC,mid-market,0,
CUST-00056,2023-12-11,growth,170.67,1365.37,annual,8,3,611,59,2,APAC,smb,1,2024-08-07
CUST-00057,2022-08-22,enterprise,862.79,16393.05,annual,19,0,846,71,0,EMEA,enterprise,0,
CUST-00058,2023-09-06,starter,60.57,3392.13,annual,56,0,505,72,0,NA,mid-market,0,
CUST-00059,2022-05-24,enterprise,1105.46,5527.28,month-to-month,5,1,599,96,0,NA,enterprise,1,2022-10-21
CUST-00060,2021-05-04,starter,61.05,3052.73,month-to-month,50,1,132,54,0,NA,mid-market,1,2025-06-12
CUST-00061,2023-08-21,enterprise,820.44,11486.15,month-to-month,14,0,442,64,0,APAC,enterprise,0,
CUST-00062,2022-02-10,growth,173.81,7821.38,month-to-month,45,4,443,56,0,LATAM,smb,0,
CUST-00063,2022-08-15,starter,53.31,3145.46,month-to-month,59,0,694,81,0,LATAM,smb,0,
CUST-00064,2022-05-28,growth,152.4,2743.18,annual,18,1,689,72,0,NA,smb,0,
CUST-00065,2022-07-24,starter,50.87,2492.72,multi-year,49,2,910,77,0,EMEA,smb,0,
CUST-00066,2022-11-07,enterprise,1005.13,53271.89,month-to-month,53,1,346,55,0,LATAM,enterprise,0,
CUST-00067,2023-11-20,growth,133.56,7078.62,month-to-month,53,3,533,77,0,NA,mid-market,0,
CUST-00068,2021-09-26,growth,171.95,687.78,month-to-month,4,0,439,16,0,APAC,mid-market,1,2022-01-24
CUST-00069,2021-07-10,starter,52.45,104.89,annual,2,8,656,80,0,EMEA,smb,0,
CUST-00070,2023-05-01,enterprise,869.1,26073.1,multi-year,30,6,860,100,0,LATAM,enterprise,0,
CUST-00071,2023-04-30,enterprise,813.24,29276.58,month-to-month,36,0,215,24,0,APAC,enterprise,1,2026-04-14
CUST-00072,2023-07-04,enterprise,1001.46,53077.63,month-to-month,53,0,540,49,1,LATAM,enterprise,0,
CUST-00073,2023-04-22,growth,149.48,4484.25,annual,30,6,767,68,1,NA,smb,0,
CUST-00074,2022-11-11,growth,184.15,4603.84,month-to-month,25,9,376,33,1,NA,smb,1,2024-11-30
CUST-00075,2022-06-27,enterprise,1112.95,37840.18,month-to-month,34,5,629,98,0,APAC,enterprise,1,2025-04-12
CUST-00076,2023-09-27,starter,53.94,2966.44,month-to-month,55,0,41,32,0,NA,mid-market,0,
CUST-00077,2022-09-06,growth,178.66,2679.84,month-to-month,15,3,614,84,0,NA,mid-market,0,
CUST-00078,2021-06-11,growth,173.88,3999.34,annual,23,1,447,37,0,LATAM,smb,0,
CUST-00079,2021-11-20,starter,57.42,861.31,month-to-month,15,1,429,44,0,NA,mid-market,0,
CUST-00080,2021-08-07,growth,186.21,7634.72,month-to-month,41,7,299,46,0,EMEA,smb,0,
CUST-00081,2021-04-11,growth,160.38,7217.07,month-to-month,45,0,360,29,3,LATAM,smb,0,
CUST-00082,2021-10-08,enterprise,987.42,49371.12,multi-year,50,3,513,90,0,NA,enterprise,0,
CUST-00083,2023-05-01,enterprise,1091.25,21825.04,annual,20,3,593,77,0,EMEA,enterprise,0,
CUST-00084,2022-08-28,growth,182.92,6219.4,annual,34,1,831,100,0,APAC,smb,0,
CUST-00085,2023-01-20,starter,49.44,494.39,month-to-month,10,3,322,17,0,NA,mid-market,0,
CUST-00086,2022-04-24,starter,54.17,1624.97,month-to-month,30,1,418,59,1,LATAM,mid-market,1,2024-10-10
CUST-00087,2021-08-27,growth,168.43,9937.62,annual,59,2,532,54,0,EMEA,smb,0,
CUST-00088,2023-05-09,growth,166.61,1332.89,month-to-month,8,0,545,84,1,EMEA,smb,0,
CUST-00089,2022-04-29,enterprise,897.39,48459.2,annual,54,1,689,68,0,APAC,enterprise,0,
CUST-00090,2021-02-13,growth,153.75,615.0,annual,4,1,873,94,0,NA,smb,0,
CUST-00091,2022-11-04,starter,45.88,2340.01,month-to-month,51,1,440,29,0,EMEA,mid-market,0,
CUST-00092,2021-09-27,growth,133.2,7326.09,annual,55,9,372,33,3,NA,mid-market,0,
CUST-00093,2023-01-12,growth,171.09,342.18,annual,2,0,639,48,0,NA,smb,0,
CUST-00094,2023-09-08,starter,60.54,2845.61,month-to-month,47,3,254,39,1,LATAM,smb,1,2027-07-19
CUST-00095,2022-10-28,growth,163.86,819.3,month-to-month,5,5,479,49,0,LATAM,smb,0,
CUST-00096,2022-03-17,enterprise,999.58,29987.54,month-to-month,30,1,451,33,0,LATAM,enterprise,0,
CUST-00097,2021-11-09,growth,166.29,8813.39,month-to-month,53,1,569,80,0,LATAM,smb,0,
CUST-00098,2022-11-07,starter,53.14,1488.05,annual,28,0,727,48,1,NA,smb,0,
CUST-00099,2021-11-13,growth,132.82,7438.18,annual,56,5,617,85,0,LATAM,smb,0,
CUST-00100,2021-02-23,growth,184.73,1477.86,month-to-month,8,3,538,37,0,APAC,smb,0,
CUST-00101,2021-03-04,growth,150.54,8881.67,month-to-month,59,0,571,53,0,NA,smb,1,2026-01-07
CUST-00102,2021-04-18,growth,160.48,4814.36,month-to-month,30,0,380,11,0,EMEA,mid-market,1,2023-10-05
CUST-00103,2022-12-08,starter,45.88,825.75,annual,18,1,520,58,0,LATAM,smb,0,
CUST-00104,2022-03-09,growth,127.11,4321.68,annual,34,2,478,56,0,EMEA,smb,0,
CUST-00105,2022-12-27,starter,46.16,46.16,month-to-month,1,1,565,86,0,NA,mid-market,0,
CUST-00106,2022-08-16,growth,150.75,301.51,annual,2,1,584,87,0,NA,smb,0,
CUST-00107,2023-06-12,starter,50.21,2610.9,multi-year,52,6,593,54,0,LATAM,smb,1,2027-09-19
CUST-00108,2022-12-17,growth,133.45,6405.41,month-to-month,48,0,524,88,0,APAC,mid-market,0,
CUST-00109,2023-10-09,starter,56.53,904.47,annual,16,0,692,79,0,LATAM,mid-market,0,
CUST-00110,2021-11-06,growth,178.16,7839.0,annual,44,5,502,51,0,LATAM,mid-market,0,
CUST-00111,2022-08-11,growth,153.58,7832.79,month-to-month,51,0,292,41,0,NA,smb,1,2026-10-19
CUST-00112,2022-01-21,starter,56.13,2245.31,multi-year,40,2,302,20,0,APAC,mid-market,1,2025-05-05
CUST-00113,2022-05-23,starter,51.54,1494.64,month-to-month,29,0,289,65,1,LATAM,mid-market,1,2024-10-09
CUST-00114,2022-11-17,enterprise,885.83,35433.07,month-to-month,40,0,396,60,0,NA,enterprise,0,
CUST-00115,2021-10-17,growth,135.61,2576.63,annual,19,0,861,64,1,APAC,smb,1,2023-05-10
CUST-00116,2023-12-15,growth,173.83,1564.5,annual,9,2,593,86,2,NA,smb,0,
CUST-00117,2021-10-09,growth,155.63,311.26,month-to-month,2,1,516,100,0,EMEA,mid-market,1,2021-12-08
CUST-00118,2021-09-26,starter,48.25,1592.27,annual,33,3,683,66,1,LATAM,smb,0,
CUST-00119,2023-07-09,starter,50.36,2366.75,month-to-month,47,1,377,30,0,EMEA,smb,1,2027-05-19
CUST-00120,2023-02-22,growth,154.17,8941.64,month-to-month,58,4,866,53,0,LATAM,mid-market,1,2027-11-28
CUST-00121,2023-11-23,enterprise,897.64,46677.17,annual,52,2,823,76,1,NA,enterprise,0,
CUST-00122,2022-12-17,growth,139.88,4056.62,annual,29,5,292,58,0,NA,smb,0,
CUST-00123,2022-11-18,growth,132.56,2120.89,month-to-month,16,1,452,57,0,EMEA,smb,0,
CUST-00124,2022-03-18,growth,180.64,8128.76,month-to-month,45,3,212,46,1,EMEA,smb,1,2025-11-27
CUST-00125,2021-05-09,growth,164.73,1317.85,annual,8,3,735,79,0,NA,mid-market,0,
CUST-00126,2022-05-08,enterprise,918.5,32147.65,month-to-month,35,0,434,52,0,LATAM,enterprise,0,
CUST-00127,2021-03-31,growth,127.86,639.31,annual,5,6,693,49,0,LATAM,smb,0,
CUST-00128,2022-11-12,enterprise,801.43,1602.86,month-to-month,2,0,443,68,0,EMEA,enterprise,0,
CUST-00129,2023-07-27,starter,57.56,3107.99,month-to-month,54,3,353,18,0,NA,smb,1,2028-01-02
CUST-00130,2022-01-27,starter,52.29,2980.72,month-to-month,57,0,20,36,2,APAC,smb,1,2026-10-03
CUST-00131,2022-01-18,growth,179.97,3239.47,annual,18,0,852,51,0,LATAM,smb,0,
CUST-00132,2021-07-30,growth,137.41,7145.07,month-to-month,52,0,20,66,0,NA,mid-market,1,2025-11-06
CUST-00133,2023-06-10,growth,169.97,6628.76,month-to-month,39,2,266,48,0,APAC,smb,0,
CUST-00134,2023-06-17,starter,44.79,223.93,annual,5,2,384,39,0,NA,mid-market,1,2023-11-14
CUST-00135,2021-06-07,growth,183.2,4396.8,month-to-month,24,1,239,25,0,EMEA,smb,1,2023-05-28
CUST-00136,2022-06-18,growth,181.1,2897.55,month-to-month,16,7,505,90,0,LATAM,mid-market,1,2023-10-11
CUST-00137,2022-10-17,growth,153.18,1991.32,annual,13,0,323,53,1,APAC,smb,1,2023-11-11
CUST-00138,2022-04-05,growth,137.03,7947.5,month-to-month,58,0,367,14,0,NA,mid-market,0,
CUST-00139,2021-06-26,enterprise,1053.15,16850.35,annual,16,3,505,64,0,NA,enterprise,0,
CUST-00140,2023-08-13,growth,145.54,4948.52,multi-year,34,1,576,65,0,APAC,smb,0,
CUST-00141,2021-12-04,starter,44.08,2204.18,annual,50,7,695,66,0,EMEA,smb,1,2026-01-12
CUST-00142,2022-09-13,growth,159.48,5422.33,annual,34,5,649,95,1,NA,smb,1,2025-06-29
CUST-00143,2021-02-28,starter,52.7,579.67,month-to-month,11,2,187,20,1,NA,mid-market,0,
CUST-00144,2022-09-11,growth,179.63,7544.64,annual,42,0,620,66,0,LATAM,smb,0,
CUST-00145,2021-10-22,growth,154.33,3086.62,annual,20,1,740,85,0,APAC,smb,0,
CUST-00146,2021-09-08,enterprise,802.33,44930.69,month-to-month,56,0,442,20,0,APAC,enterprise,0,
CUST-00147,2022-10-03,starter,59.34,1127.37,month-to-month,19,6,72,64,1,EMEA,smb,0,
CUST-00148,2022-12-24,growth,153.9,4924.83,month-to-month,32,4,565,79,0,NA,mid-market,1,2025-08-10
CUST-00149,2023-01-20,growth,170.01,3230.18,month-to-month,19,1,129,57,1,NA,smb,0,
CUST-00150,2021-09-01,starter,47.13,1131.18,annual,24,1,378,41,0,EMEA,smb,0,
CUST-00151,2021-03-24,enterprise,980.8,50020.58,month-to-month,51,9,370,49,0,NA,enterprise,1,2025-06-01
CUST-00152,2022-09-05,growth,163.19,5548.42,annual,34,1,508,68,0,APAC,smb,0,
CUST-00153,2022-09-23,growth,133.18,6126.39,month-to-month,46,1,572,71,0,NA,mid-market,0,
CUST-00154,2022-05-12,starter,56.83,2671.12,month-to-month,47,0,177,37,0,NA,mid-market,1,2026-03-22
CUST-00155,2023-08-24,starter,51.49,102.97,annual,2,1,557,76,0,NA,mid-market,0,
CUST-00156,2022-06-26,growth,158.42,6812.25,month-to-month,43,1,600,64,0,LATAM,mid-market,0,
CUST-00157,2023-09-10,growth,167.79,2516.82,month-to-month,15,6,463,14,3,APAC,smb,1,2024-12-03
CUST-00158,2021-10-27,growth,175.43,3333.08,multi-year,19,0,324,76,0,APAC,mid-market,0,
CUST-00159,2022-07-11,starter,57.88,1331.19,multi-year,23,5,648,57,0,EMEA,smb,0,
CUST-00160,2023-08-26,starter,43.61,697.82,annual,16,0,667,82,2,NA,smb,0,
CUST-00161,2022-08-08,starter,56.47,1524.58,month-to-month,27,2,200,45,1,NA,mid-market,1,2024-10-26
CUST-00162,2021-12-27,enterprise,1095.51,40533.9,month-to-month,37,0,456,37,1,NA,enterprise,0,
CUST-00163,2021-08-08,enterprise,777.62,24883.93,month-to-month,32,0,521,59,1,APAC,enterprise,0,
CUST-00164,2023-07-29,growth,133.36,7601.73,multi-year,57,6,547,72,1,APAC,smb,1,2028-04-03
CUST-00165,2023-05-26,growth,164.72,8400.62,month-to-month,51,0,506,93,0,APAC,mid-market,0,
CUST-00166,2022-11-07,starter,50.41,453.65,annual,9,1,807,70,2,APAC,smb,0,
CUST-00167,2022-09-29,growth,136.17,5719.1,annual,42,0,561,52,0,NA,mid-market,0,
CUST-00168,2023-08-23,growth,185.58,7423.39,multi-year,40,0,475,44,2,EMEA,mid-market,0,
CUST-00169,2023-11-02,starter,42.86,1457.26,annual,34,1,831,80,0,EMEA,mid-market,0,
CUST-00170,2021-04-24,growth,132.07,7263.86,month-to-month,55,1,488,64,0,LATAM,mid-market,0,
CUST-00171,2021-05-30,starter,57.65,2075.49,month-to-month,36,1,403,24,1,NA,smb,0,
CUST-00172,2023-05-11,starter,45.18,2710.66,annual,60,4,520,72,3,APAC,smb,1,2028-04-14
CUST-00173,2022-12-14,enterprise,1078.64,60403.81,month-to-month,56,5,791,92,0,NA,enterprise,1,2027-07-21
CUST-00174,2023-05-19,starter,50.72,2384.07,month-to-month,47,8,447,1,1,LATAM,smb,0,
CUST-00175,2021-02-02,enterprise,775.74,17841.91,month-to-month,23,0,622,48,0,EMEA,enterprise,0,
CUST-00176,2022-03-21,starter,49.53,1436.5,month-to-month,29,2,680,78,0,NA,smb,1,2024-08-07
CUST-00177,2021-10-21,starter,57.69,3057.59,multi-year,53,5,406,27,0,EMEA,smb,0,
CUST-00178,2023-12-11,starter,54.26,2224.62,month-to-month,41,2,570,74,0,APAC,smb,0,
CUST-00179,2023-08-07,growth,177.76,4443.99,month-to-month,25,0,436,54,0,NA,mid-market,1,2025-08-26
CUST-00180,2022-01-26,starter,58.25,1456.35,multi-year,25,0,431,9,0,NA,mid-market,0,
CUST-00181,2022-11-13,starter,45.9,2570.6,annual,56,0,446,27,1,APAC,smb,0,
CUST-00182,2022-02-23,enterprise,1092.98,65578.99,month-to-month,60,0,424,11,1,LATAM,enterprise,0,
CUST-00183,2023-08-13,enterprise,893.48,44673.91,annual,50,0,568,57,0,NA,enterprise,0,
CUST-00184,2023-05-06,growth,170.83,10078.89,annual,59,0,956,80,0,APAC,mid-market,1,2028-03-10
CUST-00185,2023-10-02,growth,141.99,5253.51,month-to-month,37,3,292,19,0,LATAM,smb,0,
CUST-00186,2021-03-11,starter,54.23,488.07,annual,9,2,823,58,0,NA,smb,1,2021-12-06
CUST-00187,2023-07-23,enterprise,818.46,40104.55,annual,49,0,609,65,0,APAC,enterprise,0,
CUST-00188,2022-08-11,growth,158.2,6802.74,annual,43,1,626,69,0,NA,smb,0,
CUST-00189,2022-06-01,growth,141.01,7332.61,annual,52,6,819,59,0,APAC,mid-market,0,
CUST-00190,2021-03-06,growth,176.0,4576.06,month-to-month,26,1,386,27,0,NA,smb,1,2023-04-25
CUST-00191,2021-07-15,growth,165.09,660.35,month-to-month,4,2,698,87,0,NA,smb,0,
CUST-00192,2022-10-07,growth,160.24,2884.23,multi-year,18,0,956,52,0,NA,smb,0,
CUST-00193,2023-03-08,enterprise,966.95,47380.52,annual,49,3,771,63,1,APAC,enterprise,0,
CUST-00194,2023-03-24,starter,43.14,1423.62,annual,33,3,745,77,0,APAC,smb,0,
CUST-00195,2022-08-28,growth,161.57,5170.18,month-to-month,32,0,357,50,0,EMEA,smb,0,
CUST-00196,2022-09-24,starter,43.74,1093.46,month-to-month,25,2,420,26,0,LATAM,mid-market,1,2024-10-13
CUST-00197,2021-07-10,starter,42.16,252.99,month-to-month,6,0,275,35,0,APAC,smb,1,2022-01-06
CUST-00198,2021-12-14,enterprise,1115.9,30129.33,month-to-month,27,1,712,47,0,LATAM,enterprise,0,
CUST-00199,2022-05-21,growth,173.3,5545.5,month-to-month,32,0,408,56,0,LATAM,smb,0,
CUST-00200,2022-11-17,starter,57.41,516.69,month-to-month,9,0,320,63,2,LATAM,mid-market,1,2023-08-14
CUST-00201,2022-08-20,starter,60.56,1211.11,annual,20,0,692,84,2,LATAM,mid-market,0,
CUST-00202,2022-01-04,enterprise,966.91,20305.12,annual,21,1,588,75,1,NA,enterprise,0,
CUST-00203,2023-10-20,enterprise,1069.01,49174.67,month-to-month,46,0,459,36,1,EMEA,enterprise,0,
CUST-00204,2023-05-07,starter,53.06,2440.85,month-to-month,46,1,224,49,0,NA,mid-market,0,
CUST-00205,2023-03-30,starter,42.52,297.63,month-to-month,7,3,288,62,0,APAC,mid-market,0,
CUST-00206,2023-02-06,enterprise,1011.43,1011.43,month-to-month,1,0,425,19,0,LATAM,enterprise,0,
CUST-00207,2021-10-18,starter,43.33,996.65,annual,23,13,548,100,0,APAC,smb,0,
CUST-00208,2021-08-24,starter,47.9,1628.62,month-to-month,34,1,201,52,0,NA,smb,1,2024-06-09
CUST-00209,2023-05-24,enterprise,962.62,42355.15,annual,44,3,638,48,2,LATAM,enterprise,0,
CUST-00210,2023-03-08,starter,45.52,546.21,month-to-month,12,2,647,74,0,NA,smb,0,
CUST-00211,2023-09-30,starter,50.62,1872.87,month-to-month,37,0,484,56,1,APAC,mid-market,1,2026-10-14
CUST-00212,2021-06-23,starter,57.34,1318.87,annual,23,0,761,93,0,EMEA,mid-market,0,
CUST-00213,2023-09-24,starter,52.92,634.99,month-to-month,12,1,265,57,0,EMEA,smb,1,2024-09-18
CUST-00214,2023-02-26,starter,41.84,502.05,month-to-month,12,0,572,75,0,LATAM,mid-market,1,2024-02-21
CUST-00215,2022-08-15,growth,128.6,4115.16,month-to-month,32,0,462,29,0,EMEA,smb,1,2025-04-01
CUST-00216,2021-03-27,growth,185.71,6685.46,annual,36,1,627,92,0,LATAM,mid-market,0,
CUST-00217,2021-06-28,starter,50.46,2422.31,multi-year,48,3,469,100,1,LATAM,mid-market,0,
CUST-00218,2021-12-06,enterprise,1019.74,53026.33,month-to-month,52,0,303,33,1,EMEA,enterprise,0,
CUST-00219,2022-07-02,starter,55.45,2051.63,annual,37,0,512,66,0,NA,mid-market,0,
CUST-00220,2022-10-22,growth,134.56,7938.94,annual,59,0,511,46,0,EMEA,smb,0,
CUST-00221,2021-07-10,growth,164.41,1644.14,annual,10,1,499,52,0,LATAM,mid-market,0,
CUST-00222,2023-07-28,growth,170.32,5109.61,month-to-month,30,6,705,70,0,APAC,mid-market,0,
CUST-00223,2021-09-25,enterprise,1062.02,27612.58,annual,26,0,680,83,0,LATAM,enterprise,0,
CUST-00224,2021-01-02,starter,58.46,175.38,annual,3,0,570,72,1,LATAM,mid-market,0,
CUST-00225,2023-02-01,starter,54.48,3105.36,annual,57,2,766,64,0,EMEA,smb,0,
CUST-00226,2023-07-01,starter,44.25,1239.03,annual,28,2,832,70,0,NA,smb,0,
CUST-00227,2022-10-04,starter,55.97,3134.49,month-to-month,56,1,571,77,0,APAC,smb,1,2027-05-11
CUST-00228,2021-12-03,enterprise,788.75,39437.54,month-to-month,50,3,278,20,1,LATAM,enterprise,0,
CUST-00229,2023-02-26,starter,43.62,2573.53,month-to-month,59,1,473,36,0,APAC,smb,0,
CUST-00230,2021-02-24,enterprise,1023.49,9211.38,month-to-month,9,0,432,66,0,APAC,enterprise,0,
CUST-00231,2022-05-09,starter,46.34,2224.37,annual,48,1,709,38,0,LATAM,smb,0,
CUST-00232,2023-08-23,starter,48.81,1171.49,month-to-month,24,6,563,52,0,NA,mid-market,0,
CUST-00233,2023-05-01,growth,164.11,2297.58,month-to-month,14,0,476,21,0,LATAM,smb,0,
CUST-00234,2021-05-16,starter,44.7,804.52,month-to-month,18,0,810,46,0,APAC,mid-market,0,
CUST-00235,2021-12-26,starter,42.73,170.91,annual,4,0,814,86,2,NA,mid-market,0,
CUST-00236,2022-07-05,starter,46.73,514.04,month-to-month,11,1,134,38,0,NA,smb,1,2023-05-31
CUST-00237,2021-04-24,growth,156.22,2811.97,month-to-month,18,1,652,66,0,LATAM,mid-market,0,
CUST-00238,2021-04-01,enterprise,846.28,9309.13,month-to-month,11,0,200,29,0,NA,enterprise,0,
CUST-00239,2023-05-09,growth,181.12,10686.16,month-to-month,59,0,556,52,2,EMEA,smb,0,
CUST-00240,2023-11-23,growth,129.79,2336.21,month-to-month,18,3,605,88,0,NA,smb,1,2025-05-16
CUST-00241,2022-08-21,enterprise,928.4,27851.88,month-to-month,30,4,404,49,1,APAC,enterprise,1,2025-02-06
CUST-00242,2021-11-05,growth,159.22,6050.55,month-to-month,38,7,472,13,3,NA,mid-market,0,
CUST-00243,2022-09-22,enterprise,764.68,26763.65,month-to-month,35,0,711,39,1,NA,enterprise,0,
CUST-00244,2023-12-01,growth,129.27,4136.53,multi-year,32,7,731,81,3,LATAM,smb,1,2026-07-18
CUST-00245,2021-09-25,starter,52.78,2005.61,month-to-month,38,0,456,35,0,EMEA,mid-market,0,
CUST-00246,2021-08-12,growth,182.89,8229.86,annual,45,3,538,73,0,EMEA,smb,0,
CUST-00247,2021-07-05,growth,154.27,4165.17,month-to-month,27,0,452,22,0,EMEA,smb,0,
CUST-00248,2022-09-05,starter,48.62,680.72,month-to-month,14,4,531,77,0,APAC,mid-market,0,
CUST-00249,2021-09-06,enterprise,800.8,20820.69,month-to-month,26,4,362,39,0,NA,enterprise,0,
CUST-00250,2021-06-03,starter,43.3,389.67,annual,9,0,503,30,0,NA,smb,0,
CUST-00251,2023-08-03,enterprise,883.38,37101.76,month-to-month,42,1,678,50,0,NA,enterprise,1,2027-01-14
CUST-00252,2021-11-01,growth,137.8,4409.73,annual,32,0,701,81,0,NA,smb,0,
CUST-00253,2023-12-13,growth,134.83,4314.54,annual,32,1,770,75,0,EMEA,mid-market,0,
CUST-00254,2023-03-07,starter,59.54,1488.46,annual,25,3,472,36,0,APAC,mid-market,0,
CUST-00255,2022-04-22,starter,52.03,104.05,month-to-month,2,5,891,90,1,EMEA,smb,0,
CUST-00256,2023-03-07,growth,139.73,4890.44,annual,35,3,1153,90,2,APAC,smb,0,
